episode,#,question,answer,filename
,8,КОЈОМ РЕЧЈУ НА СЛОВО „П“ ЗОВЕМО АЗИЈСКИ ВЕРСКИ ОБЈЕКАТ У ОБЛИКУ КУЛЕ СА ВИШЕ СПРАТОВА?,ПАГОДА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,9,КОЈЕ СУ БОЈЕ ЗВЕЗДА И ПОЛУМЕСЕЦ НА ЗАСТАВИ ПАКИСТАНА?,БЕЛЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
,10,"КОЈЕ ГОДИНЕ СУ ФУДБАЛЕРИ ЈУГОСЛАВИЈЕ, НАКОН ТРИ СРЕБРА ЗАРЕДОМ, ОСВОЈИЛИ ЗЛАТНУ ОЛИМПИЈСКУ МЕДАЉУ?",1960. ГОДИНЕ (У РИМУ),E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.03 Slagalica.mp4
2019.11.04 Slagalica.mp4,,,,
,1,КОСТРОМА И СУЗДАЉ ЧИНЕ ДЕО ТЗВ. ЗЛАТНОГ ПРСТЕНА У БЛИЗИНИ КОЈЕ ПРЕСТОНИЦЕ?,МОСКВЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,2,"АМЕРИКАНАЦ ЛУИС САЛИВЕН ЧЕСТО СЕ НАЗИВА ОЦЕМ АТОМСКЕ БОМБЕ, ОБЛАКОДЕРА ИЛИ ГРОМОБРАНА?",ОБЛАКОДЕРА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,3,КОЈИ СРПСКИ ПРОСВЕТИТЕЉ ЈЕ НАПИСАО СТИХОВЕ РОДОЉУБИВЕ ХИМНЕ „ВОСТАНИ СЕРБИЈЕ“?,ДОСИТЕЈ ОБРАДОВИЋ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,4,"КЕСЕР ЈЕ ВРСТА АЛАТА, ОДЕВНОГ ПРЕДМЕТА ИЛИ КОЛАЧА?",АЛАТА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,5,У КОМ СРПСКОМ ГРАДУ СЕ ОД 1977. ГОДИНЕ ОДРЖАВА ФЕСТИВАЛ ФИЛМСКОГ СЦЕНАРИЈА?,У ВРЊАЧКОЈ БАЊИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,6,НА КОМ КОНТИНЕНТУ СУ КРАЈЕМ 19. И ПОЧЕТКОМ 20. ВЕКА ВОЂЕНИ ПРВИИ ДРУГИ БУРСКИ РАТ?,У АФРИЦИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,7,КОЈЕ УМЕТНИЧКО ИМЕ КОРИСТИ СРПСКИ ПИСАЦ И МУЗИЧАР МАРКО ШЕЛИЋ?,МАРЧЕЛО,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,8,"БИЉКА ВЕОМА ХРАНЉИВОГ СЕМЕНА АМАРАНТ ИЛИ ШТИР ПОТИЧЕ ИЗ АМЕРИКЕ, АФРИКЕ ИЛИ ЕВРОПЕ?",ИЗ АМЕРИКЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,9,У КОМ ГРАДУ СУ ЦАРЕВИ КОНСТАНТИН И ЛИЦИНИЈЕ 313. ГОДИНЕ ИЗДАЛИ ЕДИКТ КОЈИМ ЈЕ ДОЗВОЉЕНО ИСПОВЕДАЊЕ ХРИШЋАНСТВА?,У МИЛАНУ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
,10,"КОЈА ДРЖАВА ЈЕ 2004. ГОДИНЕ ПОСТАЛА МУШКИ ЕВРОПСКИ ПРВАК У ФУДБАЛУ, А 2005. У КОШАРЦИ?",ГРЧКА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.04 Slagalica.mp4
2019.11.05 Slagalica.mp4,,,,
,1,КАКО СЕ ЗВАЛА ВЛАДАЈУЋА ИТАЛИЈАНСКА ДИНАСТИЈА ОД УЈЕДИЊЕЊА 1861. ДО ПРОГЛАШЕЊА РЕПУБЛИКЕ 1946. ГОДИНЕ?,САВОЈА / САВОЈСКА ДИНАСТИЈА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,2,НАЈВИШИ ВРХ КОЈЕ ШУМАДИЈСКЕ ПЛАНИНЕ ЈЕ ВИСОК 1132 МЕТРА И НОСИ ИМЕ СЛАВНОГ ГЕОГРАФА ЈОВАНА ЦВИЈИЋА?,РУДНИК,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,3,"ДОРИС ЛЕСИНГ ЈЕ БИЛА ПОЗНАТА БРИТАНСКА ГЛУМИЦА, ПЕВАЧИЦА ИЛИ КЊИЖЕВНИЦА?",КЊИЖЕВНИЦА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,4,СВЕТСКОМ РАТУ ПРИКАЗУЈЕ АНДРЕЈ ТАРКОВСКИ У СВОМ ПРВОМ ДУГОМЕТРАЖНОМ ФИЛМУ?,ИВАН (ФИЛМ „ИВАНОВО ДЕТИЊСТВО“),E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,5,"КАКО СЕ ЗОВЕ ХЕМИЈСКИ ЕЛЕМЕНТ ИЗ ГРУПЕ ЛАНТАНОИДА С ОЗНАКОМ „LU“, НАЗВАН ПО ЛАТИНСКОМ ИМЕНУ ПАРИЗА?",ЛУТЕЦИЈУМ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,6,"У КОМ МАНАСТИРУ СУ САХРАЊЕНА ДВА СРПСКА НОВОВЕКОВНА ПАТРИЈАРХА, ДИМИТРИЈЕ И ПАВЛЕ?",РАКОВИЦА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,7,"ТАНДУРИ ПИЛЕТИНА ЈЕ ПОЗНАТИ СПЕЦИЈАЛИТЕТ КИНЕСКЕ, ИНДИЈСКЕ ИЛИ МЕКСИЧКЕ КУХИЊЕ?",ИНДИЈСКЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,8,БОРЋЕВИЋ. КОЈА ЈЕУ ДУЕТУ С PAMBOM АМАДЕУСОМ НАСТУПИЛА НА БЕОВИЗИЈИ 2018. ГОДИНЕ?,БЕТИ (ЂОРЂЕВИЋ),E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,9,КАКО СЕ ЗОВЕ СЕДМОКРАКИ ЈЕВРЕЈСКИ СВЕЋЊАК ПРИКАЗАН НА ГРБУ ДРЖАВЕ ИЗРАЕЛ?,МЕНОРА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
,10,РЕПРЕЗЕНТАТИВКЕ КОЈЕ ДРЖАВЕ СУ 2019. ГОДИНЕ ОДБРАНИЛЕ ТИТУЛУ СВЕТСКИХ ШАМПИОНКИ У ФУДБАЛУ?,САД,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.05 Slagalica.mp4
2019.11.06 Slagalica.mp4,,,,
,1,КОЈА ЈЕ ЈЕДИНА САВЕЗНА ДРЖАВА САД У ОКЕАНИЈИ?,ХАВАЈИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,2,"ВОЛУХАРИЦЕ СУ ПОТПОРОДИЦА ГЛОДАРА, ТОРБАРА ИЛИ КОПИТАРА?",ГЛОДАРА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,3,КОЈИ ФИЛМСКИ МЈУЗИКЛ БАЗА ЛУРМАНА ИЗ 2001. ГОДИНЕ НОСИ ИМЕ ЧУВЕНОГ ПАРИСКОГ НОЋНОГ КЛУБА И КАБАРЕА?,МУЛЕН РУЖ',E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,4,"НАДИМКОМ) ЈЕ 1215. ГОДИНЕ ДОНЕО ДОКУМЕНТ „МАГНА КАРТА ЛИБЕРТАТУМ“, ТЈ. „ВЕЛИКА ПОВЕЉА СЛОБОДЕ“?",ЈОВАН БЕЗ ЗЕМЉЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,5,"КОЈА ЕВРОПСКА ДРЖАВА ИМА ХИМНУ „ИЗНАД МЛАДЕ РАЈНЕ“, КОЈА СЕ ПЕВА НА МЕЛОДИЈУ БРИТАНСКЕ ХИМНЕ?",ЛИХТЕНШТАЈН,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,6,"КАКО СЕ, ПРЕМА НАШОЈ ДЕЧЈОЈ ПЕСМИ, ЗОВЕ „ЧИЧА“ КОЈИ СИМБОЛИЗУЈЕ ПОЧЕТНИЧКИ ЦРТЕЖ ЉУДСКЕ ФИГУРЕ?",(ЧИЧА) ГЛИША,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,7,КОЈИ НЕМАЧКИ ВЕСТЕРН ПИСАЦ ЈЕ СТВОРИО ЛИКОВЕ ВИНЕТУА И ОЛД ШЕТЕРХЕНДА?,КАРЛ МАЈ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,8,ИЗ КОЈЕ ЈУЖНОАМЕРИЧКЕ ЗЕМЉЕ ДОЛАЗЕ ЗВЕЗДЕ РЕГЕТОН И ЛАТИНО ПОП МУЗИКЕ МАЛУМА И ЏЕЈ БАЛВИН?,ИЗ КОЛУМБИЈЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,9,У КОМ СРПСКОМ ГРАДУ СЕ ОДРЖАВА ПЕСНИЧКА МАНИФЕСТАЦИЈА „ДИСОВО ПРОЛЕЋЕ“?,У ЧАЧКУ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
,10,КОЈА РУМУНСКА ТЕНИСЕРКА ЈЕ ОСВОЈИЛА ВИМБЛДОН У ЖЕНСКОМ СИНГЛУ 2019. ГОДИНЕ?,СИМОНА ХАЛЕП,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.06 Slagalica.mp4
2019.11.07 Slagalica.mp4,,,,
,1,КАКВА ЈЕ УДОВИЦА У НАСЛОВУ ПОЗНАТЕ ОПЕРЕТЕ ФРАНЦА ЛЕХАРА?,BECEJTIA,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,2,"ФАНГЛА И МИСТРИЈА СУ АЛАТКЕ КОЈЕ СЕ МОГУ ВИДЕТИ У РУКАМА КУВАРА, ЗИДАРА ИЛИ АУТОМЕХАНИЧАРА?",ЗИДАРА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,3,"КОЈЕ ПРЕЗИМЕ ДЕЛЕ ЧКАЉИН ЛИК У „КАМИОНЏИЈАМА“ И НАШИ ПОЗНАТИ КОШАРКАШИ, ОТАЦ И СИН?","ЈАРИЋ (ЖИВАДИН, СРЕЋКО И МАРКО)",E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,4,"КАКО СЕ ЗОВЕ ЈЕДИНО ОСТРВО НА СВЕТУ ЧИЈУ ТЕРИТОРИЈУ ЧИНЕ ТРИ НЕЗАВИСНЕ ДРЖАВЕ - ИНДОНЕЗИЈА, МАЛЕЗИЈА И БРУНЕЈ?",БОРНЕО (КАЛИМАНТАН),E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,5,ИЛКИН АТЕНТАТ БИО ЈЕ НЕУСПЕЛИ ПОКУШАЈ УБИСТВА КОГ СРПСКОГ ВЛАДАРА 1882. ГОДИНЕ?,(КРАЉА) МИЛАНА ОБРЕНОВИЋА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,6,"ТУНГСТЕН, ШТО НА ШВЕДСКОМ ЗНАЧИ ""ТЕШКА СТЕНА“, ДРУГО ЈЕ ИМЕ ЗА КОЈИ ХЕМИЈСКИ ЕЛЕМЕНТ?",ВОЛФРАМ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,7,НА КОЈОЈ РЕЦИ ЛЕЖИ ГРАД УЖИЦЕ?,НАЂЕТИЊИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,8,НАСЛОВНИ ЈУНАК РОМАНА ЏЕЈМСА ФЕНИМОРА КУПЕРА ИЗ 1826. ГОДИНЕ ЈЕ ПОСЛЕДЊИ ПРИПАДНИК КОГ ИНДИЈАНСКОГ ПЛЕМЕНА?,МОХИКАНАЦА („ПОСЛЕДЊИ МОХИКАНАЦ“),E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,9,С ПОЗНАТИМ ДВОРЦЕМ КАШТЕЛ НА ЧИЈЕМ ЈЕ ОТВОРАЊУ 1820. ГОДИНЕ НАСТУПИО МЛАДИ ФРАНЦ ЛИСТ?,ЗРЕЊАНИН,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
,10,У КОМ СПОРТУ СУ СЕ ПРОСЛАВИЛИ БЕЛГИЈАНАЦ ЕДИ МЕРКС И ФРАНЦУЗ БЕРНАР VMHO??,У БИЦИКЛИЗМУ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.07 Slagalica.mp4
2019.11.08 Slagalica.mp4,,,,
,1,"KOJOM ДАНАШЊОМ ДРЖАВОМ СУ У РАЗЛИЧИТИМ РАЗДОБЉИМА ВЛАДАЛЕ ДИНАСТИЈЕ ТАНГ, СУНГ, МИНГ И ЋИНГ?",КИНОМ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,2,"КАКО СЕ, У ДВЕ РЕЧИ, НАЗИВА ТЕОРЕТСКИ МОДЕЛ НАСТАНКА СВЕМИРА ИЗ НЕЗАМИСЛИВО МАЛОГ И ВРЕЛОГ ПРОСТОРА?",ВЕЛИКИ ПРАСАК (BIG BANG),E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,3,КОЈА ХВАЉЕНА МИНИ-СЕРИЈА ИЗ 2019. ГОДИНЕ ЈЕ НАЗВАНА ПО МЕСТУ НАЈВЕЋЕ НУКЛЕАРНЕ КАТАСТРОФЕ У ИСТОРИЈИ?,ЧЕРНОБИЉ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,4,"КАКО СЕ ЗОВЕ ГАРГАМЕЛОВ МАЧАК, НЕПРИЈАТЕЉ ШТРУПМФОВА?",АЗРАЕЛ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,5,КАКО СЕ ЈЕДНИМ ИМЕНОМ НАЗИВА 150 ПОБОЖНИХ ПЕСАМА СТАРОГ ЗАВЕТА?,ПСАЛМИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,6,ИЗ КОЈЕ ДРЖАВЕ ЈЕ БИО КРИЈУМЧАР И НАРКОБОС ПАБЛО ЕСКОБАР?,ИЗ КОЛУМБИЈЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,7,"РЕКА ВОЛГА УЛИВА СЕ У ЦРНО МОРЕ, АЗОВСКО МОРЕ ИЛИ КАСПИЈСКО ЈЕЗЕРО?",КАСПИЈСКО ЈЕЗЕРО,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,8,"КОЈИ ИТАЛИЈАН ЈЕ КОМПОНОВАО ОПЕРУ „ОРФЕЈ“, СМАТРАНУ НАЈСТАРИЈОМ ОПЕРОМ КОЈА СЕ И ДАНАС РЕДОВНО ИЗВОДИ?",КЛАУДИО МОНТЕВЕРДИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,9,"КАКО ГЛАСИ ЛАТИНСКА РЕЧ ЗА ПОЛУПРЕЧНИК, УЈЕДНО И ИМЕ ЈЕДНЕ ОД ДВЕЈУ ГЛАВНИХ КОСТИЈУ ПОДЛАКТИЦЕ?",РАДИЈУС,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
,10,КАКО СЕ ЗОВЕ КИНЕСКИ ПРОИЗВОЂАЧ ГУМА ЧИЈЕ ИМЕ ОД 2019. ГОДИНЕ НОСЕ СУПЕРЛИГА И ПРВА ЛИГА СРБИЈЕ У ФУДБАЛУ?,ЛИНГЛОНГ (ТАЈЕР),E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.08 Slagalica.mp4
2019.11.09 Slagalica.mp4,,,,
,1,"КО ЈЕ 1973. ГОДИНЕ ОБЈАВИО АЛБУМ КОЈИ ОТВАРАЈУ ПЕСМЕ „ЕЈ, САЛАШИ, НА СЕВЕРУ БАЧКЕ“ И „У ТОМ СОМБОРУ“?",ЗВОНКО БОГДАН,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,2,КОЈА ВРСТА ЖИВОТИЊЕ ИЗ АУСТРАЛИЈЕ ЈЕ УЗ ЕХИДНУ ЈЕДИНИ СИСАР КОЈИ ЛЕЖЕ ЈАЈА?,КЉУНАР / ПЛАТИПУС,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,3,"КОЈИ НАШ ПРОСВЕТНИ РАДНИК, ПИСАЦ И НАРОДНИ ЛЕКАР ЈЕ АУТОР ПОЗНАТЕ КЊИГЕ „НАРОДНИ УЧИТЕЉ“ ИЗ 1879. ГОДИНЕ?",ВАСА ПЕЛАГИЋ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,4,КОЈА ВРСТА ФОСИЛНЕ СМОЛЕ КОРИШЋЕНЕ ЗА ИЗРАДУ НАКИТА СЕ НА СТАРОГРЧКОМ ЈЕЗИКУ ЗВАЛА „ЕЛЕКТРОН“?,ЋИЛИБАР / ЈАНТАР,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,5,ТОРЕСОВ МОРЕУЗ РАЗДВАЈА АУСТРАЛИЈСКИ КОНТИНЕНТ ОД КОГ ВЕЛИКОГ ОСТРВА?,ОД НОВЕ ГВИНЕЈЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,6,КАКО СЕ ЗОВЕ ФРАНЦУСКИ ГЛУМАЦ КОЈИ ЈЕ С БИВШОМ СУПРУГОМ МОНИКОМ БЕЛУЧИ СНИМИО ФИЛМ „ПАКТ С ВУКОВИМА“?,ВЕНСАН КАСЕЛ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,7,КОЈОМ ЕВРОПСКОМ ДРЖАВОМ ЈЕ ОД 1640. ДО 1910. ГОДИНЕ ВЛАДАЛА ДИНАСТИЈА БРАГАНСА?,ПОРТУГАЛИЈОМ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,8,"КОЈА ПОЗНАТА ПЕСМА ПОЧИЊЕ СТИХОВИМА: „ОПРОСТИ, МАЈКО СВЕТА, ОПРОСТИ, ШТО НАШИХ ГОРА ПОЖАЛИХ БОР“?",САНТА МАРИЈА ДЕЛА САЛУТЕ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,9,НА ЗАСТАВИ НАРОДНЕ РЕПУБЛИКЕ КИНЕ СЕ НА ЦРВЕНОМ ПОЉУ НАЛАЗИ ЈЕДНА ВЕЋА И КОЛИКО МАЊИХ ЖУТИХ ЗВЕЗДА?,ЧЕТИРИ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
,10,НА КОЛИКО МЕТАРА ВИСИНЕ СЕ НАЛАЗИ БЕТОНСКА ПЛАТФОРМА ЗА СКОКОВЕ У ВОДУ НА ОЛИМПИЈСКИМ MT PAMA??,ДЕСЕТ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.09 Slagalica.mp4
2019.11.10 Slagalica.mp4,,,,
,1,ДРЕВНИ ГРАД ВАВИЛОН НАСТАО ЈЕ НА ТЕРИТОРИЈИ КОЈЕ ДАНАШЊЕ ДРЖАВЕ?,ИРАКА,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.10 Slagalica.mp4
,2,КО ЈЕ АУТОР КЊИЖЕВНОГ ДЕЛА „ГОСПОДАР ПРСТЕНОВА“?,Џ. Р. Р. ТОЛКИН,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.10 Slagalica.mp4
,3,"КОЈИ ХОЛАНДСКИ ГЛУМАЦ ЈЕ ЗАПАМЋЕН ПО УЛОГАМА У ФИЛМОВИМА „БЛЕЈД РАНЕР“, „АУТОСТОПЕР“ И „ДЕЛИЋ СЕКУНДЕ“?",РУТГЕР ХАУЕР,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.10 Slagalica.mp4
,4,"АКАБА ЈЕ ЈЕДИНА ЈОРДАНСКА, А ЕИЛАТ ЈЕДИНА ИЗРАЕЛСКА ЛУКА НА КОМ МОРУ?",НА ЦРВЕНОМ МОРУ,E:\Slagalica\Slagalica-1080p-sve\batch1\2019.11.10 Slagalica.mp4
