episode,#,question,answer,filename
,1,"КАКО СЕ ПРЕЗИВА ПОРОДИЦА ГЛАВНИХ ЈУНАКА ФИЛМА ""МАРАТОНЦИ ТРЧЕ ПОЧАСНИ КРУГ""?",ТОПАЛОВИЋ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,2,"КАКО СЕ ЗОВЕ ХРСКАВИЦА СРПАСТОГ ОБЛИКА У ЗГЛОБУ КОЛЕНА, НАЗВАНА ПО ГРЧКОЈ РЕЧИ ЗА МЛАД МЕСЕЦ?",МЕНИСКУС / МЕНИСКОС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,3,"КОЈА ПЕВАЧИЦА ИМА ХИТОВЕ ""LIKE А VIRGIN"" И""ЦКЕ А PRAYER"" СА ИСТОИМЕНИХ АЛБУМА?",МАДОНА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,4,КОМ НАШЕМ УПРАВНОМ ОКРУГУ ПРИПАДАЈУ ГРАД И ОПШТИНА ВЕЛИКО ГРАДИШТЕ?,БРАНИЧЕВСКОМ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,5,КОЈА РЕЧ УОПШТЕНО ОЗНАЧАВА ЈАПАНСКИ СТРИП?,МАНГА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,6,У КОМ ГРАДУ ЈЕ СЕПТЕМБРА 2018. НА 200. ГОДИШЊИЦУ ПОСТОЈАЊА ПОТПУНО ИЗГОРЕЛА ЗГРАДА НАЦИОНАЛНОГ МУЗЕЈА?,У РИО ДЕ ЖАНЕИРУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,7,"СКЛАПАЊЕ БРАКОВА УНУТАР ЈЕДНЕ ДРУШТВЕНЕ ГРУПЕ НАЗИВА СЕ: ЕГЗОГАМИЈА, ЕНДОГАМИЈА ИЛИ МОНОГАМИЈА?",ЕНДОГАМИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,8,ВИЛИНСКИ КРАЉ ОБЕРОН И КРАЉИЦА ТИТАНИЈА ЛИКОВИ СУ ИЗ КОЈЕ ШЕКСПИРОВЕ КОМЕДИЈЕ?,САН ЛЕТЊЕ НОЋИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
,9,КОЈИ НАШ КОШАРКАШ СЕ ЛЕТА 2018. ПРИДРУЖИО БОГДАНУ БОГДАНОВИЋУ У САКРАМЕНТО КИНГСИМА?,НЕМАЊА БЈЕЛИЦА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.07 Slagalica.mp4
2018.11.08 Slagalica.mp4,,,,
,1,У КОМ ГРАДУ СУ МИЛОШ ОБРЕНОВИЋ И ЈОАКИМ ВУЈИЋ 1835. ГОДИНЕ ОСНОВАЛИ КЊАЖЕВСКО-СРПСКИ ТЕАТАР?,У КРАГУЈЕВЦУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,2,"ПАТАГОНИЈСКА МАРА ЈЕ ПОЗНАТА И КАО ПАТАГОНИЈСКИ ЗЕЦ, КОЊ ИЛИ ПАС?",ЗЕЦ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,3,"КАКО СЕ СКРАЋЕНО ЗОВЕ ПОЛИТИЧКО- ЕКОНОМСКА УНИЈА БЕЛГИЈЕ, ХОЛАНДИЈЕ И ЛУКСЕМБУРГА?",БЕНЕЛУКС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,4,ПРОШТАЦ ЈЕ ОСНОВНИ ДЕО ЧЕГА?,ПЛОТА/ ОГРАДЕ/ ТАРАБЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,5,"КОЈИ ЈАПАНСКИ РЕДИТЕЉ ЈЕ 2018. ГОДИНЕ ДОБИО ЗЛАТНУ ПАЛМУ ЗА ФИЛМ ""КРАДЉИВЦИ""?",ХИРОКАЗУ КОРЕ-ЕДА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,6,У КОМ ГЛАВНОМ ГРАДУ СЕ НАЛАЗИ ТРЕТЈАКОВСКА ГАЛЕРИЈА?,У МОСКВИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,7,КОЈЕ НЕБЕСКО ТЕЛО ЈЕ ОД 1930. ДО 2006. ГОДИНЕ СМАТРАНО ПЛАНЕТОМ?,ПЛУТОН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,8,КОЈИ ЈЕЗИК ПОРЕД ЕНГЛЕСКОГ ИМА СЛУЖБЕНИ СТАТУС У ПАКИСТАНУ?,УРДУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,9,"КОЈА ЖИВОТИЊА ЈЕ ТУКС, МАСКОТА ОПЕРАТИВНОГ СИСТЕМА ЛИНУКС?",ПИНГВИН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
,10,КОЈА ХОЛАНДСКА АТЛЕТИЧАРКА ЈЕ ДВОСТРУКА СВЕТСКА ШАМПИОНКА НА 200 МЕТАРА?,ДАФНЕ СХИПЕРС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.08 Slagalica.mp4
2018.11.09 Slagalica.mp4,,,,
,1,ГРАНИЧНИ ПРЕЛАЗ БАТРОВЦИ НАЛАЗИ СЕ НА ГРАНИЦИ СРБИЈЕ И КОЈЕ ДРЖАВЕ?,ХРВАТСКЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,2,КАКО СЕ ЗОВЕ ДРЕВНИ ГРАД У ЈОРДАНУ КОЈИ ЈЕ ПРОГЛАШЕН ЗА ЈЕДНО ОД НОВИХ СЕДАМ СВЕТСКИХ ЧУДА?,ПЕТРА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,3,КОЈА БИЉКА ЈЕ ИНСПИРИСАЛА НАСТАНАК ТРАКЕ ПОПУТ ОНЕ НА ПАТИКАМА НА ЛЕПЉЕЊЕ?,ЧИЧАК,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,4,КОЈУ ПАНК ГРУПУ ЈЕ ПРЕДВОДИО ПЕВАЧ БРАНКО ЧРНАЦ - ТУСТА?,КУД ИДИЈОТИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,5,КОЈУ РЕЧ НЕМАЧКОГ ПОРЕКЛА КОРИСТИМО ЗА БРЗОПОТЕЗНИ ШАХ?,ЦУГЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,6,"КОЈИ ФРАНЦУСКИ РЕАЛИСТА ЈЕ АУТОР РОМАНА ""САЛАМБО""?",ГИСТАВ ФЛОБЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,7,"ИЗ КОЈЕ ЗЕМЉЕ ПОТИЧЕ СЕРИЈА КРАТКИХ ЦРТАНИХ ФИЛМОВА ""ГУСТАВ""?",ИЗ МАЂАРСКЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,8,"ИНВАР ЈЕ ЛЕГУРА ГВОЖЂА, ТЈ. ЧЕЛИКА, И КОГ МЕТАЛА?",НИКЛА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,9,АНТОНИО ДЕ ОЛИВЕИРА САЛАЗАР ЈЕ 36 ГОДИНА БИО НА ЧЕЛУ КОЈЕ ДРЖАВЕ?,ПОРТУГАЛИЈЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
,10,У КОМ СПОРТУ ЈЕ ДАВОР ШТЕФАНЕК ОСВОЈИО ОЛИМПИЈСКО ЗЛАТО ЗА СРБИЈУ?,У РВАЊУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.09 Slagalica.mp4
2018.11.10 Slagalica.mp4,,,,
,1,КОЈА ЈЕ НАЈДУЖА РЕКА АФРИКЕ?,НИЛ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,2,"АРИЈАНА ГРАНДЕ ЈЕ ПЕВАЧИЦА, ВУЛКАН ИЛИ НОСАЧ АВИОНА?",ПЕВАЧИЦА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,3,"БИВШИ ИТАЛИЈАНСКИ ФУДБАЛЕР ТЕДЕСКО И БРАЗИЛСКИ АЛЕМАО ИМАЈУ ПРЕЗИМЕ, ОДНОСНО НАДИМАК ИСТОГ ЗНАЧЕЊА. КОГ?",НЕМАЦ / НЕМАЧКИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,4,"ДОВРШИТЕ НАЗИВ НАРОДНЕ БАЈКЕ: ""ЗЛАТНА ЈАБУКА И ДЕВЕТ...""?",ПАУНИЦА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,5,"КОЈИ АМЕРИЧКИ ПРЕДСЕДНИК ЈЕ КРАЈЕМ СВЕТСКОГ РАТА ИЗДАО САОПШТЕЊЕ ПОЗНАТО КАО ""ЧЕТРНАЕСТ ТАЧАКА""?",ВУДРО ВИЛСОН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,6,"КО ЈЕ ""УВЕК СПРЕМАН"" У НАСЛОВУ ФИЛМА БРАНКА БАЛЕТИЋА ИЗ 1987. ГОДИНЕ?",ЖЕНЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,7,МАСКАРПОНЕ И МОЦАРЕЛА СУ ВРСТЕ ЧЕГА?,СИРА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,8,КОЈИ ВЛАДАР ИЗ ЛОЗЕ НЕМАЊИЋА ЈЕ БИО ОЖЕЊЕН АНОМ ДАНДОЛО?,СТЕФАН ПРВОВЕНЧАНИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,9,КОЈЕ ЖИВОТИЊЕ СЕ НА ЛАТИНСКОМ ЗОВУ INVERTEBRATA?,БЕСКИЧМЕЊАЦИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
,10,У КОМ СПОРТУ СЕ ПРОСЛАВИО БРИТАНАЦ АДАМ ПИТИ?,У ПЛИВАЊУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.10 Slagalica.mp4
2018.11.11 Slagalica.mp4,,,,
,1,КОЈА НАМА СУСЕДНА ПРЕСТОНИЦА СЕ НАЛАЗИ У ПОДНОЖЈУ ПЛАНИНЕ ВИТОШЕ?,СОФИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,2,"ШТА У ОЗНАКАМА ШАХОВСКИХ ТИТУЛА И КАТЕГОРИЈА ЗНАЧИ СКРАЋЕНИЦА ""MK""?",МАЈСТОРСКИ КАНДИДАТ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,3,КРИСТ НОВОСЕЛИЋ СЕ ПРОСЛАВИО КАО СУОСНИВАЧ И БАСИСТА КОЈЕ МУЗИЧКЕ ГРУПЕ?,НИРВАНА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,4,КОЈИ ЕНГЛЕСКИ ФИЗИЧАР И ХЕМИЧАР ЈЕ У 19. ВЕКУ ПОСТАВИО ДВА ЗАКОНА ЕЛЕКТРОЛИЗЕ?,МАЈКЛ ФАРАДЕЈ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,5,"КОЈИ ЛИК ИЗ СЕРИЈЕ ""ДРЖАВНИ ПОСАО"" ИМА ОЦА ЈОВУ?",ДРАГАН (ЈОВЕ) ТОРБИЦА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,6,КОЈИ ПРОИЗВОЂАЧ ЛУКСУЗНИХ АУТОМОБИЛА ИМА СУПЕРБРЗИ МОДЕЛ ВЕЈРОН?,БУГАТИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,7,"КОЈУ ПТИЦУ ИЗ НАСЛОВА БОДЛЕРОВЕ ПЕСМЕ ""ДОКОНИ МОРНАРИ ОД ЗАБАВЕ ЛОВЕ""?",АЛБАТРОС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,8,КАКО СЕ ЗВАО ПОСЛЕДЊИ ИРАНСКИ ШАХ?,МОХАМЕД РЕЗА ПАХЛАВИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,9,КОЈА РЕЧ ФРАНЦУСКО-ИТАЛИЈАНСКОГ ПОРЕКЛА ОЗНАЧАВА ДАШЧИЦУ НА КОЈОЈ СЛИКАР МЕША BOJE?,ПАЛЕТА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
,10,"КОЈИ НАШ БИВШИ ОДБОЈКАШКИ АС ИМА НАДИМАК ""КВИСКО""?",ГОРАН ВУЈЕВИЋ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.11 Slagalica.mp4
2018.11.12 Slagalica.mp4,,,,
,1,"АУТОР ЕПА""ЕНЕЈИДА"" ЈЕ ОВИДИЈЕ, ХОРАЦИЈЕ ИЛИ ВЕРГИЛИЈЕ?",ВЕРГИЛИЈЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,2,ОД КОЈЕ СУ ДРЖАВЕ АМЕРИКАНЦИ 1867. ГОДИНЕ КУПИЛИ АЉАСКУ?,ОД РУСИЈЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,3,"КОЈИ ФРАНЦУСКИ ГЛУМАЦ ИГРА ГЛАВНУ МУШКУ УЛОГУ У ФИЛМУ ""САМУРАЈ"" ИЗ 1967. ГОДИНЕ?",АЛЕН ДЕЛОН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,4,"КОЈИ ВЕЋИ СРПСКИ ГРАД, ОСИМ БЕОГРАДА, ИМА ПАРК-ШУМУ КОШУТЊАК?",КРАГУЈЕВАЦ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,5,КО ЈЕ БИО ПРВИ ЧОВЕК КОЈИ ЈЕ ОТПУТОВАО У СВЕМИР?,ЈУРИЈ ГАГАРИН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,6,КАКО СЕ ЗОВЕ РИМСКИ ПАНДАН ГРЧКОМ БОГУ РАТА АРЕСУ?,МАРС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,7,КОЈИ ИТАЛИЈАН ЈЕ КОМПОНОВАО ЧУВЕНУ ЗБИРКУ 24 КАПРИЧА ЗА СОЛО ВИОЛИНУ?,НИКОЛО ПАГАНИНИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,8,ЛИНК ЈЕ ИМЕ ГЛАВНОГ ЈУНАКА КОГ АКЦИОНО-АВАНТУРИСТИЧКОГ СЕРИЈАЛА ВИДЕО-ИГАРА?,ЛЕГЕНДА О ЗЕЛДИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,9,КАКО СЕ НАЗИВА СТРАХ ОД БОРАВКА У ЗАТВОРЕНОМ ПРОСТОРУ?,КЛАУСТРОФОБИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
,10,"КОЈИ БРАЗИЛАЦ НИКАД НИЈЕ БИО ПРВАК СВЕТА У ФОРМУЛИ 1: ФИТИПАЛДИ, БАРИКЕЛО, ПИКЕ ИЛИ СЕНА?",РУБЕНС БАРИКЕЛО,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.12 Slagalica.mp4
2018.11.13 Slagalica.mp4,,,,
,1,"ПОД КОЈИМ ЈАПАНСКИМ НАЗИВОМ ЈЕ ПОЗНАТА ТЗВ. НАДУВАНА РИБА, ЈЕДИНО ЈЕЛО КОЈЕ ЈЕ ЦАРУ ЗАКОНОМ ЗАБРАЊЕНО?",ФУГУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.13 Slagalica.mp4
,2,"АКО ЈЕ ТЕМПЕРАТУРА О СТЕПЕНИ ЦЕЛЗИЈУСА, ОНА У ФАРЕНХАЈТИМА ИЗНОСИ 32,52 ИЛИ 72 СТЕПЕНА?",ТРИДЕСЕТ ДВА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.13 Slagalica.mp4
,3,"КОЛИКО ФИГУРИЦА ИМА СВАКИ ИГРАЧ У ИГРИ ""ЧОВЕЧЕ, НЕ ЉУТИ СЕ""?",ЧЕТИРИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.11.13 Slagalica.mp4
